,property_id,property_name,description,num_bedroom,num_bathroom,area_size,price,transaction_type,property_type,parking,laundry,furnished,pet_friendly,latitude,longitude,build_year,smoking_allowed,air_conditioning,hardwood_floors,balcony
0,4000,"4825 115 Avenue Edmonton,  AB T5W 0W3","Location, Location, Location, beautiful home located two blocks off Ada Boulevard.    Don't miss out on this gorgeous 3 bedroom, 1 bathroom 4 level spilt home with 1571 total sq footage including basement. Features include slate tile in the front entrace and front steps and beautiful california ceiling in the living room. This property has numerous upgrades; New hot water tank, Newer Shingles, Upgraded Electrical and Plumbing, travertine tile and porcelain tub in the bathroom and so much more. Enjoy entertaining on your large concrete patio in your large 44 X 156 backyard lot. Detached double car garage, large area behind the garage to park 4 cars. Close to ravine, walking trails, 5 minutes to Anthony Henday and Yellowhead Trail. Don't miss out on this opportunity!! It's a must see!!",3,1,859,"259,000",Buy,Condo Unit,outdoor,shared,True,True,53.567215,-113.416975,1945,False,False,True,False
1,4001,"11531 101 Street Edmonton,  AB T5G 2B2","Spacious 2 bedroom bungalow located in Spruce Avenue, close to the Royal Alex hospital and Kingsway Mall with easy access to downtown. Great tenant, punctual, (tradeperson and handyman) that likes to do improvements and maintenance on his own time.  Home is situated on a deep RF3 lot - 33x146.5 - good infill as well for future or current re-development.",2,1,812,"167,500",Buy,Condo Unit,garage,shared,False,True,53.566795,-113.492888,1942,False,False,False,False
2,4002,"12201 46 Street Edmonton,  AB T5W 2W5","Get inspired in BERGMAN! BEAUTIFUL renovated 5 bedroom bungalow with 2 KITCHENS, Separate Entry, and Oversized Double Garage on a quiet lot. The main floor features laminate floors, a large family room perfect for entertaining, formal dining room (with hidden storage) and a large kitchen perfect for prepping meals! The main bath has been renovated and you have 3 large bedrooms with enough room for everyone. The fully finished renovated basement features an in-law suite with another kitchen, large family room, 2 more large bedrooms a 3 piece shower and extra storage. Outside is your large yard (50 ft lot!) and oversized insulated double garage (wifi enabled!), perfect for BBQ season! Other upgrades include Hardie board siding, new windows, new shingles, new lights, new concrete poured in the garage and more! This is the perfect home and/or investment property located on a large quiet private corner lot! The location is fantastic and close to all amenities. Add this one to your portfolio today!",5,2,986,"399,000",Buy,Condo Unit,outdoor,shared,True,True,53.576848,-113.411978,1957,False,True,True,False
3,4003,"16428 88 Street Edmonton,  AB T5Z 3W9","STUNNING 2-Storey home with over 3500 Sq.ft of living space on all 3 floors, located in BELLE RIVE with a SECONDARY KITCHEN in the BASEMENT and SIDE ENTRANCE. The main floor of the property features a living room upon entry with huge windows, OPEN TO BELOW Foyer with High Ceilings, a formal dining room, a family room, a den (bedroom), and a full bath on the main, with a huge kitchen. Greeted by Grand Stairs, the second floor leads you to 4 generous size bedrooms, 2 full bathrooms, and a SECOND-FLOOR OUTDOOR BALCONY. The Fully Finished Basement offers 1 Bedroom, Laundry, and Kitchen with a big Rec Room. The potential is endless in this home with so much to offer. It includes Air Conditioning for those hot summer days and a heated garage. Beautifully & professionally landscaped with very little maintenance in the back and front yard. Conveniently located walking distance to parks, schools, restaurants, and Anthony Henday. Great opportunity to own a beautiful home in a prestigious community.",5,4,2669,"649,000",Buy,House,garage,in_suite,True,True,53.62716,-113.478408,2003,False,True,True,True
4,4004,"1740 18 Street Edmonton,  AB T6T 2N2","Welcome to this beautiful home (3900 sqft total living space) w/ 2 bedroom LEGAL BASEMENT located in the desirable community LAUREL. This spacious property offers loads of upgrades & an opportunity with 6 bedrooms /5 Full baths, making it perfect for multi families or generating rental income. As you step inside, you will notice the well-designed layout. The main floor features 10 ft ceiling, tile flooring, a bright and airy open to below living area, and a convenient main floor bedroom w/ full bath, stylish chef kitchen & spacious spice Kitchen & dining. Upstairs, you will find 10 feet ceiling, vinyl flooring, 3 generous bedrooms plus prayer and bonus room, 3 full baths including a very spacious primary suite with a huge walk-in closet and a 5-piece ensuite bath Basement is legal with 9ft ceiling, two beds, full bath, separate kitchen, laundry & entrance. Upgrades include electronic toilet seats, rain showers, oversized garage, high-end fixtures, wide deck, acrylic stucco, 8 ft doors, main double door.",6,5,2853,"895,000",Buy,House,outdoor,in_suite,False,True,53.447734,-113.370457,2022,False,False,False,True
5,4005,"8 Harrison Drive Edmonton,  AB T5A 2R4","This 1689 sqft 4 level split has an floor plan with 4 bedrooms above grade (3 bedrooms upper level, 1 bedroom on ground), 3 bath (2pc on main, 4pc and 2pc ensuite upstairs) with lots of new upgrading. Upgrades include New Shingles (2023), new Cabinets, new flooring, new painting, new SS appliances, and more. Huge bright living and dinning welcomes you, open concept kitchen with modern white cabinets and s.s. appliances. family room has fireplace and patio doors to large deck.  Main floor bedroom with a 2pc bath completes this level. Upstairs finds 3 bedrooms, 2 pc ensuite and 4 pc shared bath. Fully finished basement offers a massive recreation space. Brand new vinyl flooring and fresh painting through-out. Steps away from school, shopping and public transit, quick access to Yellow Head and Henday.",4,3,1690,"425,000",Buy,Condo Unit,underground,shared,True,True,53.589472,-113.407129,1975,False,True,True,True
6,4006,"142 Galland Crescent Edmonton,  AB T5T 6P4","Be ready to be impressed when you enter this beautifully laid out home built by Parkwood Homes. This home features 3+1 bedrooms, a main floor den, large bonus room, fully finished basement with open family room, and a brand new three piece bathroom! The open concept kitchen, dining room, and living room is ideal for large family gatherings. This home boasts beautiful hardwood floors throughout most of the main floor as well as a corner gas fireplace in living room, upper level laundry room, 3.5 bathrooms, large mud room, two tiered deck, and so much more. Shingles and HWT were replaced in 2021. This is a perfect family home in a great community.  Close to trails, park, shopping, schools.",4,4,2238,"525,000",Buy,Townhouse,covered,shared,False,True,53.499015,-113.667271,2002,False,True,True,False
7,4007,"2423 Ashcraft Crescent Edmonton,  AB T6W 2M9","Luxury living in Allard - Your search ends here! Gorgeous home with all the high end upgrades you could imagine. Fischer & Paykel appliances, 10 foot ceilings, 8 foot doors, and premium exterior upgrades, just to list a few. You will be wow'd as soon as you enter this bright and airy home which is flooded with natural light all day long. Pride of ownership shows with high end lighting and finishings. Shangri La blinds throughout with blackout blinds in the bedrooms. This home is perfect for a family looking for a cozy yet spacious home. The main floor has a full bedroom and bathroom along with an office/play room. Upstairs you will find 4 bedrooms with a central bonus room. 2 bedrooms share a jack n jill washroom. The basement is unfinished however all rough-ins are completed along with a second furnace for future legal suite development. Wrapping this home up is a triple car over sized garage and central A/C.",5,4,3691,"1,249,999",Buy,Apartment,garage,shared,True,True,53.401311,-113.520251,2023,False,False,True,False
8,4008,"20558 92 ""A"" Avenue Edmonton,  AB T5T 3B2","Beautiful 1,301 sq. foot Adult bungalow living, located backing onto the 8th hole at the Lewis Estates Golf course in Suder Greens. This open concept designed luxury home features vaulted ceilings, hardwood flooring, 2 gas fireplaces, a bank of windows across the back of the Home to take in the golf course views, screened rear deck, double attached garage as well as 2 bedrooms up. The Kitchen comes  with a spacious granite island, stainless steel appliances, pantry & maple cabinets. Primary bedroom has its own walk-in closet & 4 piece ensuite. To round out the main level, you will discover a second bedroom/den,  2 piece bath and a large laundry room. The finished lower level has a rec. room with fireplace, 3rd bedroom with walk thru to a 4 piece bath as well as a huge storage room. No condo fees ! HOA monthly fee of $177 covers lawn cutting & snow removal. (monthly fee to be reduced to $90 in 2024). Property situated in a deep cul-de-sac so no thru traffic. Close to shopping & restaurants. Move in ready !",3,3,1301,"562,000",Buy,Apartment,outdoor,in_suite,True,True,53.527473,-113.671668,2010,False,True,False,False
9,4009,"3624 113B Street Edmonton,  AB T6J 1L5","Welcome to Greenfield - located right in the heart of the neighbourhood on THE ONLY tree lined street. Upon entering this well maintained & extensively renovated home you are greeted w/a spacious living room flowing into dining/kitchen space. Kitchen features maple cabinets, granite counters, SS appliances & pass through to the living space w/breakfast bar. Beyond the dining room is a separate & spacious family room w/wet bar & full bath. The main floor also includes 2 additional beds (could be converted to 3 beds) & 1.5 baths. Moving up into the primary suite you will enjoy the privacy of being on your own level. With enough space for a king size bed, spa-like ensuite & coffee bar - the perfect retreat. The HUGE basement features rec rooms, additional bed/bath, dual laundry areas & ample storage. Enjoy summer BBQs in the low maintenance backyard including a heated OZ double detached garage w/220V power, 10' ceilings & 2pc bath - a mechanic's dream! Walking distance to all schools, spray park & MORE!",4,6,2196,"669,500",Buy,Duplex,outdoor,in_suite,True,True,53.470816,-113.527269,1980,False,False,False,True
