,image_id,image_url,property_id,image_type
0,3000,https://cdn.listingphotos.sierrastatic.com/pics2x/v1690054851/83/83_E4351189_01.jpg,3000,outdoor
1,3001,https://cdn.listingphotos.sierrastatic.com/pics2x/v1690065734/83/83_E4351188_01.jpg,3001,outdoor
2,3002,https://cdn.listingphotos.sierrastatic.com/pics2x/v1690051221/83/83_E4351179_01.jpg,3002,indoor
3,3003,https://cdn.listingphotos.sierrastatic.com/pics2x/v1690051221/83/83_E4351178_01.jpg,3003,indoor
4,3004,https://cdn.listingphotos.sierrastatic.com/pics2x/v1690051221/83/83_E4351176_01.jpg,3004,outdoor
5,3005,https://cdn.listingphotos.sierrastatic.com/pics2x/v1690051223/83/83_E4351174_01.jpg,3005,outdoor
6,3006,https://cdn.listingphotos.sierrastatic.com/pics2x/v1690047614/83/83_E4351173_01.jpg,3006,outdoor
7,3007,https://cdn.listingphotos.sierrastatic.com/pics2x/v1690058471/83/83_E4351172_01.jpg,3007,indoor
8,3008,https://cdn.listingphotos.sierrastatic.com/pics2x/v1690047615/83/83_E4351171_01.jpg,3008,indoor
9,3009,https://cdn.listingphotos.sierrastatic.com/pics2x/v1690047614/83/83_E4351169_01.jpg,3009,indoor
10,3010,https://cdn.listingphotos.sierrastatic.com/pics2x/v1690044012/83/83_E4351167_01.jpg,3010,outdoor
11,3011,https://cdn.listingphotos.sierrastatic.com/pics2x/v1690044012/83/83_E4351166_01.jpg,3011,outdoor
