,property_id,property_name,description,num_bedroom,num_bathroom,area_size,price,transaction_type,property_type,parking,laundry,furnished,pet_friendly,latitude,longitude,build_year,smoking_allowed,air_conditioning,hardwood_floors,balcony
0,9000,"9734 88 Avenue Edmonton,  AB T6E 2P9","Experience the enchantment of this 1626 square foot two-story home, nestled in an extraordinary location steps from Tubby Bateman Park and Millcreek Ravine. The house is full of charm and character and offers exceptional value. It provides a sun-drenched front porch, a bright kitchen with crushed glass countertops, & a high-end gas stove. Two main floor living spaces and a main floor bedroom/office. Three bedrooms upstairs with a 3-piece bath. In the partial basement is an upgraded HE furnace & second bathroom. The home offers an exceptional opportunity to add value by upgrading and renovating the house or building a garden suite to embrace multi-generational living or income opportunities. Seize the chance to craft a life of wonder and excitement in this remarkable property!",4,2,1627,"399,900",Buy,Condo Unit,outdoor,in_suite,False,True,53.52358,-113.481298,1900,False,True,True,False
1,9001,"13311 72 Street Edmonton,  AB T5C 0R3","This home has a great layout, and has been loved and cared for over the years. With almost 1100sf, the main floor provides lots of living space with a large living and dining room, 3 spacious bedrooms, and a full bath. Head downstairs past the SEPARATE ENTRANCE, and you will find a large family room, and another full bath. This well designed basement also provides 2 additional bedrooms, and a storage/laundry room. Did we mention the large lot and garage? Having a laneway on two sides, allows easy access for parking vehicles, toys and trailers. The 20'x24' garage provides a great workspace as well as additional storage. SHINGLES (2020), HWT (2023)This home is conveniently located, close to shopping, parks, and good access to LRT. *Virtual staging used in some photos*",5,2,1083,"324,900",Buy,Duplex,outdoor,in_suite,False,True,53.594434,-113.452087,1965,False,False,True,False
2,9002,"8314 158 Avenue Edmonton,  AB T5Z 2P4",3 bedroom/2.5 bath 1645 sq. ft. 2 Storey in the desirable community of Belle Rive.  Located on quiet street with fenced yard and double detached garage.,3,3,1645,"350,000",Buy,Apartment,outdoor,in_suite,True,True,53.618674,-113.469037,1988,False,False,False,False
3,9003,"4851 Kinney Road Edmonton,  AB T6W 2J2","The Lakeview by Excel Homes offers the versatility that you are looking for. Greeting your entrance, a main floor bedroom with closet space and full bath and at the rear of the main floor is an open-concept layout, including an L-shaped island kitchen, a sunny dining nook, and a great room that can accommodate guests a friends. Just above the stairwell, your family will love the getaway bonus room living space on the second floor. Directly in between the bonus room lies the three bedrooms and a handy laundry room location making the weekly chores a breeze. The primary bedroom has a spacious 4-piece ensuite and walk-in closet, offering optional upgrades. This home is under construction with an Fall 2023 completion. *Photos are representative*",3,3,1936,"574,900",Buy,Duplex,outdoor,in_suite,True,True,53.415733,-113.626376,2023,False,True,True,True
4,9004,"10116 71 Street Edmonton,  AB T6A 2V5","This 1200 sq ft bungalow with West exposure has a ton of potential with a total of 7 bedrooms, huge country kitchen, upgraded windows, shingles, 24 x 22 double garage and walking distance to many services and the ravine.",7,2,1214,"340,000",Buy,Duplex,covered,shared,True,True,53.54184,-113.437262,1958,False,False,True,False
5,9005,"4720 13 Avenue Edmonton,  AB T6L 4A3","Fantastic 4 level split in Crawford Plains with 4 bedrooms, 3 bathrooms and a Double Attached Garage. The main floor living room feature's a vaulted ceiling, the kitchen has a large nook area, new countertops and backsplashes, with door to the backyard and deck. The upper level has 3 bedrooms, the primary bedroom has a 3 Piece ensuite, new 4 piece main bathroom. The lower level has a second living room, and a 4th bedroom and 3 piece bathroom to service. The basement is partially developed. Amazing large backyard to be enjoyed all year long. This is a must see!",4,3,1127,"379,649",Buy,Condo Unit,underground,shared,False,True,53.443292,-113.411887,1989,False,True,False,False
6,9006,"10803 125 Street Edmonton,  AB T5M 0L5","Welcome to the Westmount Architectural Heritage District! This 4 bed + 2 bath character home awaits its new owner. Walk up to your front veranda and screened in porch to be met at your front door with lovely hardwood floors and entrance way. Your spacious living room will invite guests in and give you plenty of space to entertain loved ones. Through the arched doorway you'll find your dining room, where you can talk about your day around the dinner table with family. A cozy fireplace in the family room is the perfect spot for game night. Enjoy cooking in your sizeable kitchen! Upstairs, you'll find 4 bedrooms + bath. You can enjoy morning coffee 2nd floor east facing balcony that is surrounded by mature trees. Outside you can tend to your private Japanese Garden, equipt with a tea house and enjoy the many perennials! Just steps away from the heart of 124 Street - home to some of the city's best restaurants, shops, and schools - this beautiful character home is not to be missed.",4,2,1666,"649,900",Buy,House,underground,in_suite,True,True,53.552686,-113.537417,1925,False,True,True,False
7,9007,"1545 37A Avenue Edmonton,  AB T6T 0E2","Beautiful Detached Bi-level home in community of Tamarack. Very well maintained home. Open concept Bright Living room, elegant kitchen and dinning area. Primary bedroom with ensuite. Two More bedrooms and full bathroom . Basement with 2 bedrooms, kitchen and full bathroom. Close to shopping and other amenities. 5 min walking distance to Meadow Rec Centre . Easy access to Whitemud drive/ Anthony Henday & 17 St. Walking distance to Blair Mcpherson School Grade K-9.",5,3,1389,"550,000",Buy,House,underground,in_suite,False,True,53.472764,-113.366784,2007,False,True,True,True
8,9008,"13135 36 Street Edmonton,  AB T5A 5C7","Welcome to this beautiful AIR CONDITIONED & COMPLETELY RENOVATED 4 level split nestled in the quiet community of Belmont that is perfect for the young family or savvy investor. With its spacious interior living area & fantastic features, this home offers the perfect combination of comfort & style. Bright & airy, this home boasts an abundance of natural light that floods the living spaces. Situated on a generous corner lot, this home provides a sense of privacy & ample space for all your outdoor activities. With 3 generous sized bedrooms, a rec room, family room, and living room this home has the space to fulfill your needs. Have peace of mind with your roof, which was replaced 7 years ago. Enjoy easy access to all the amenities the neighbourhood has to offer, like being steps away from Belmont School (your kids can easily & safely walk to school), Belmont Park, & quick access to get to the Yellowhead or Henday. Complete with a double garage this home has nothing left to do but move in. WELCOME HOME!!!",3,2,934,"409,900",Buy,Duplex,covered,shared,False,True,53.592152,-113.395896,1997,False,True,True,False
9,9009,"11824 58 Street Edmonton,  AB T5W 3W7","Lovely 3-bedroom raised bungalow with 1150 sq ft. Perfect for a family or Investor. The living room is filled with natural light from the bay window. Numerous upgrades, including carpets, laminate flooring, ceramic tile, paint, kitchen countertops, maple cabinets, toilets, sinks, shingles, steel fence, aluminum capped windows, and fresh grass. Basement boasts an in-law suite with a potential for 2 bedrooms, a kitchen, and a bathroom. Stainless steel appliances are included. Enjoy an oversized SINGLE garage. Conveniently located near schools and buses.  Recent updates: Roof replaced in 2023, basement bathroom renovated in 2023, kitchen redone in 2017, upstairs bathroom remodelled in 2017, and new carpet installed in 2022.",4,2,1108,"299,000",Buy,Condo Unit,garage,in_suite,False,True,53.570895,-113.430993,1975,False,False,True,False
