,property_id,property_name,description,num_bedroom,num_bathroom,area_size,price,transaction_type,property_type,parking,laundry,furnished,pet_friendly,latitude,longitude,build_year,smoking_allowed,air_conditioning,hardwood_floors,balcony
0,7000,"7731 176 Avenue Edmonton,  AB T5Z 0N3","Upscale & Stylish Executive Home located in Crystallina Nera!!  Gorgeous 2516 Sq. Ft. 2 storey finished with high end details such as; 12x12 high gloss ceramic tile, handscraped hardwood, thick crown mouldings, designer lighting, quartz counters throughout, 9 ft ceilings with a 17 ft soaring open-to-above living room with wall of windows and stunning stacked stone fireplace flanked by built-in shelving.  Chef style kitchen features upgraded cabinets, glass tile backsplash, stainless steel appliances, 9 ft entertaining island and walk-through pantry to rear mud room with garage access.  Main floor office (or 5th bdrm.) with double doors and a convenient adjacent full 4 piece bath.  SEPARATE SIDE ENTRANCE to unfinished basement for private access.  Open upgraded staircase to a huge bonus space and 4 bedrooms.  Retreat to a King-sized primary bedroom complete with recessed ceiling, 5 piece ensuite with luxury soaker tub and large walk-in closet.  Rear deck is complete along with A/C for comfortable summers.",4,3,2516,"574,900",Buy,House,underground,in_suite,True,True,53.637936,-113.460813,2017,False,False,False,True
1,7001,"16211 49 Street Edmonton,  AB T5Y 3H5","Located in the sought after area of Brintnell, enter this homes state-of-the-art kitchen adorned with ceiling-reaching dark cabinets, a corner pantry, opulent granite countertops plus backsplash, a large island, complemented by gleaming stainless steel appliances. This culinary haven effortlessly flows into the dining room & living room, where wood accent walls & a cozy gas fireplace emanate warmth. The patio indulging in summer bbqs & outdoor delights. The upper level, an expansive bonus room with large windows & a second gas fireplace. The master bedroom with ample space for a king-sized bed, accompanied by a walk-in closet & an ensuite featuring a soothing soaker tub. Completing this level are 2 additional charming bedrooms & a full 4-pc bath. The basement a blank canvas awaiting your touch. To combat the chill of winter, a heated garage stands ready to warm your vehicles, while central air conditioning helps during scorching summer days. This home is a true gem, close to school, banks, & highways!",3,3,1718,"535,000",Buy,Townhouse,outdoor,shared,False,True,53.621834,-113.412643,2005,False,False,False,True
2,7002,"19330 26A Avenue Edmonton,  AB T6M 1L2","Welcome to the Uplands at Riverview! This STUNNING Daytona built 2 storey is over 1700 sq.ft. with a double detached garage. Home features 3 spacious bedrooms, office on the lower level, 2.5 luxurious bathrooms with upper level laundry. Incredible upgrades throughout. Featuring 9 foot main floors, mudroom with custom organizer, S.S. appliances, quartz counters, large central island, abundance of kitchen cabinets and high end laminate flooring. Large primary suite with enhanced walk-in closet, spa-like ensuite with dual vanities. Custom window blinds and fully landscaped. Edmonton's new and upcoming neighbourhood surrounded by ponds, walking trails and shopping. For more details please visit the REALTOR's  Website.",3,3,1708,"519,900",Buy,Apartment,covered,shared,True,True,53.458643,-113.657722,2022,False,False,True,True
3,7003,"11402 81 Street Edmonton,  AB T5B 2R6","Attention First Time Home Buyers or Investors! A diamond in the rough, gorgeous character home with second kitchen in the basement for revenue potential! Featuring stepped ceilings, crown moulding, wide baseboards & trim, newer kitchen countertops, laminate, ceramic & bright fresh paint throughout the main floor. Both 4 pce bathrooms are newer and the primary bedroom has a 2 pc ensuite! Recent upgrades include plumbing, electrical & furnace! This raised bungalow with newer large basement windows allow plenty of natural light throughout. The basement stairs have also been replaced with a separate entrance to the shared laundry area. Beautifully landscaped and completely fenced with chain link, deck & firepit. Centrally located close to transit, LRT & shopping in a neighborhood that is redeveloping. You can afford your own home with a nice yard and double garage for the same price as a condo with NO CONDO FEES! A must to see!",5,3,991,"250,000",Buy,House,covered,in_suite,True,True,53.564808,-113.465888,1923,False,True,True,False
4,7004,"Address Withheld Edmonton,  AB T5T 4B2","An unbelievable opportunity to build some sweat equity in this massive two-storey home backing onto the Lewis Estate Golf Course! Walk through the front door and you will be blown away by the front to back sight-lines, high-end finishings, and huge living areas. The entry way has a high vaulted ceiling with den/formal dining adjacent. Living room is spacious and bright - the perfect place to entertain friends or relax with family. Kitchen is a chef's dream with stone countertops, centre island, warm & rich toned cabinetry and more! Good sized dining nook provides access to south-east facing backyard right on the golf course! Primary bedroom on the upper level features 5pce ensuite and walk-in closet. Two additional bedrooms, bonus room and 4pce main bath round out the upper level. Basement is fully finished with rec room, family room, 2 additional bedrooms, another full bathroom and large storage rooms! ADDITIONAL FEATURES: Double attached garage, 2pce powder room, walk-thru pantry, and much more!",5,4,2816,"699,900",Buy,Apartment,garage,in_suite,True,True,,,2011,False,True,True,False
5,7005,"11829 42 Street Edmonton,  AB T5W 2N3","Great investment opportunity! Perfect for the first time home buyer or an investor looking to add their portfolio. Zoned RF3 50x124 lot. Close to all amenities. This unique bungalow is located in the mature neighbourhood of Beacon Heights. Upstairs features an open concept kitchen, breakfast nook, dining area and living room. Den on the mainfloor could be used as an office, TV room or add a closet and convert it back into a bedroom. Downstairs has been set up as two bedrooms plus a storage area. Can easily be converted into a basement suite.  24x24 detached double garage wired for welders, with room for extra parking or RV. Endless options and opportunities for this stunning home! Don't miss your chance!",2,1,635,"179,900",Buy,Townhouse,garage,in_suite,False,True,53.571624,-113.405715,1948,False,False,True,True
6,7006,"4908 205 Street Edmonton,  AB T6M 2Z8","Welcome to this meticulously maintained original owner home in \u0022The Hamptons\u0022.  This gorgeous 1585 SQ FT bungalow offers an open concept living area with vaulted ceilings and large windows with new blinds, offering an abundance of natural light.  The spacious kitchen offers granite counter tops, under cabinet lighting, stainless steel appliances, pantry and plenty of cabinet and counter space.  Cozy up next to your gorgeous floor to ceiling stone fireplace in the large living room.  The primary bedroom retreat has walk in closet and spa like ensuite bathroom. There is an additional bedroom and den on the main floor and don't forget about main floor laundry.  Step outside to your almost 8800SF, private, south facing backyard oasis which backs onto a walking path.  There is plenty of privacy and room to entertain.  The basement is open for development.  Conveniently located within walking distance to schools, close to amenities, public transport, the Anthony Henday and the Whitemud.",2,2,1585,"599,900",Buy,Apartment,garage,in_suite,True,True,53.485865,-113.674849,2006,False,True,True,True
7,7007,"12406 90 Street Edmonton,  AB T5B 3Z8","Welcome to this very well kept Bungalow in the HEART of Delton 2 bdrm, 1 bath, 570sqft bungalow home that's perfect for a first time home buyer or as a great rental property. This home has been very well cared for and includes many recent Upgrades; High Efficiency furnace (2014) Hwt 50gal. (14), newer house Shingles, Eaves Troughs w/ leaf protection guard, Windows (2015), Front & Back Doors with Screens, Sump Pump, Electrical Panel 100 amp, Attic Insulation R-50 (2015) & much more. Basement has plenty of storage extra space. The yard is fully fenced and the superb landscaping truly enhances the enjoyment of the home. Recent paved back lane & access to the functional garage w/ brand new shingles (July~2023) & RV parking. Also a great 10x12 storage shed. Located on a quite road with no through traffic ~ Delton Elementary is easily walkable Quick access to Public Trans,LRT, Park, Nait, Kingsway Mall & Downtown! (City sidewalk Improvement tax has been fully prepaid) This home really has a pride of ownership.",2,1,570,"224,900",Buy,Apartment,covered,in_suite,True,True,53.580108,-113.479989,1946,False,False,False,False
8,7008,"9943 89 Avenue Edmonton,  AB T6E 2S6","LOCATING, LOCATION, LOCATION this Charming & Character bungalow is located in the beautiful and desirable community of Old Strathcona. Close to the river valley, walking, and bike trails. Spacious living room with original antique fireplace. The basement suite features a living room, kitchen, bedroom, and 3-piece bath. Fenced, South-facing backyard with deck. Ready for loft development, there is only one thing left to say WELCOME HOME!",3,2,1034,"479,900",Buy,Townhouse,covered,in_suite,True,True,53.524293,-113.488084,1933,False,True,True,False
9,7009,"12228 51 Street Edmonton,  AB T5W 3H2","This renovated fully finished bungalow is ready for its new owner! Walk in to the large living room where you will first see the the updated vinyl plank flooring. The main floor has all newer windows, new flooring, and a kitchen makeover. Three bedrooms and a full 4 piece bathroom make the main floor perfect for any family. The open finished basement has a huge family room, bedroom, laundry room, large 3 piece bathroom and has the space to add another bedroom if needed.  The beautiful landscaped backyard is fully fenced. The fire pit area is already set up and has large trees keeping it private. The double detached garage has back alley access and has a large parking pad for additional space. Beat the summer heat this house has A/C!",4,2,954,"289,900",Buy,Condo Unit,covered,in_suite,True,True,53.577688,-113.420289,1958,False,True,False,False
